ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
1492,92112000,PRESIDENCIA,PRESIDENCIA,SUELDOS GRUPO A1,49098,812
1493,92112001,PRESIDENCIA,PRESIDENCIA,SUELDOS GRUPO A2,14274,813
1494,92112003,PRESIDENCIA,PRESIDENCIA,SUELDOS GRUPO C1,10828,814
1495,92112004,PRESIDENCIA,PRESIDENCIA,SUELDOS GRUPO C2,36394,815
1496,92112006,PRESIDENCIA,PRESIDENCIA,TRIENIOS,26206,816
1497,92112100,PRESIDENCIA,PRESIDENCIA,COMPLEMENTO DE DESTINO,76009,817
1498,92112101,PRESIDENCIA,PRESIDENCIA,COMPLEMENTO ESPECÍFICO,95367,818
1499,92112103,PRESIDENCIA,PRESIDENCIA,OTROS COMPLEMENTOS,68492,819
1500,92113000,PRESIDENCIA,PRESIDENCIA,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,12093,820
1501,92113002,PRESIDENCIA,PRESIDENCIA,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,19164,821
1502,92115000,PRESIDENCIA,PRESIDENCIA,PRODUCTIVIDAD,1873,822
1503,92116000,PRESIDENCIA,PRESIDENCIA,SEGURIDAD SOCIAL,107552,823
1506,92120200,PRESIDENCIA,PRESIDENCIA,CUOTA EDIFICIOS COMUNIDADES,15000,824
1507,92122002,PRESIDENCIA,PRESIDENCIA,ADQUISICIÓN PROGRAMAS INFORMÁTICOS,1200,825
1508,92122104,PRESIDENCIA,PRESIDENCIA,VESTUARIO PERSONAL CONDUCTORES,1200,826
1509,92122200,PRESIDENCIA,PRESIDENCIA,COMUNICACIONES TELEFONICAS EDIFICIOS,220000,827
1510,92122400,PRESIDENCIA,PRESIDENCIA,PRIMAS DE SEGURO,220000,828
1511,92122602,PRESIDENCIA,PRESIDENCIA,PUBLICIDAD Y PROPAGANDA ,40000,829
1512,92122603,PRESIDENCIA,PRESIDENCIA,PUBLICACIONES EN DIARIOS OFICIALES,600,830
1513,92122701,PRESIDENCIA,PRESIDENCIA,SEGURIDAD,295000,831
1516,92148900,PRESIDENCIA,PRESIDENCIA,SUBV. COLEGIO DE ABOGADOS GASTOS ASISTENCIA GRATUITA. GASTOS FUNCIONAMIENTO,30000,832
1519,92162500,PRESIDENCIA,PRESIDENCIA,ADQUISICION DE MOBILIARIO Y ENSERES,5000,833
1524,92222000,PRESIDENCIA,COORDINACIÓN Y ORGANIZACIÓN INSTITUCIONAL DE LA EELL,MATERIAL OFICINA ORGANIZACIÓN,500,834
1525,92222001,PRESIDENCIA,COORDINACIÓN Y ORGANIZACIÓN INSTITUCIONAL DE LA EELL,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",200,835
1526,92222699,PRESIDENCIA,COORDINACIÓN Y ORGANIZACIÓN INSTITUCIONAL DE LA EELL,OTROS GASTOS DIVEROS,500,836
1527,92222706,PRESIDENCIA,COORDINACIÓN Y ORGANIZACIÓN INSTITUCIONAL DE LA EELL,GABINETE DE PRENSA - SERVICIOS NOTICIAS,90000,837
1136,43212000,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUELDOS GRUPO A1,49098,838
1047,42022699,INDUSTRIA Y ENERGÍA,ADMINISTRACIÓN GENERAL DE INDUSTRIA Y ENERGÍA,GASTOS DIVERSOS,1000,839
1530,92262500,PRESIDENCIA,COORDINACIÓN Y ORGANIZACIÓN INSTITUCIONAL DE LA EELL,MOBILIARIO ,10000,840
1535,92422610,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,GASTOS DIVERSOS PROYECTO INSULAR,10000,841
1536,92422611,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,PLAN DE PARTICIPACIÓN CIUDADANA,50000,842
1539,92448000,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,PREMIOS PARTICIPACIÓN CIUDADANA,1500,843
1540,92448901,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,CONSEJO SOCIAL DE LA ISLA DE LA PALMA GASTOS FUNCIONAMIENTO,1500,844
1541,92448903,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,MOVIMIENTO ASOCIATIVO ACTUACIONES 2021,40000,845
1542,92448905,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,SUBVENCIÓN ASOC. CULTURAL HISTÓRICA DÍA DEL CORSARIO GASTOS CORRIENTES DÍA DEL CORSARIO,8000,846
1545,92478900,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,PREMIOS PROYECTO INSULAR,15000,847
1546,92478901,PARTICIPACIÓN CIUDADANA,PARTICIPACIÓN CIUDADANA,SUBVENCIONES MOVIMIENTO ASOCIATIVO PARA GASTOS DE INVERSIÓN,35000,848
1551,92522000,ATENCIÓN A LOS CIUDADANOS,ATENCIÓN A LOS CIUDADANOS,MATERIAL DE OFICINA INFORMACIÓN AL CIUDADANO,1500,849
1552,92522002,ATENCIÓN A LOS CIUDADANOS,ATENCIÓN A LOS CIUDADANOS,SOFTWARE PARA INTERCONEXIÓN DE REGISTRO,3000,850
1553,92522707,ATENCIÓN A LOS CIUDADANOS,ATENCIÓN A LOS CIUDADANOS,SERVICIO INFORMACIÓN TELEFÓNICA (SERVICIO 010),100000,851
1554,92522710,ATENCIÓN A LOS CIUDADANOS,ATENCIÓN A LOS CIUDADANOS,MANTENIMIENTO GESTOR DE TURNOS OFICINA OAC,1500,852
1555,92522711,ATENCIÓN A LOS CIUDADANOS,ATENCIÓN A LOS CIUDADANOS,GASTOS MANTENIMIENTO HERRAMIENTAS TRANSPARENCIA Y PARTICIPACIÓN CIUDADANA,10000,853
1413,91222601,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,18000,854
1345,45965010,INFRAESTRUCTURAS,OTRAS INFRAESTRUCTURAS,INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS FDCAN 2020-2021 FONDOS PROPIOS,1324270,855
