Time_s         F1_Hz        F2_Hz         F3_Hz   F4_Hz
2.194155   3369.605756   --undefined--   --undefined--   --undefined--
2.200405   3253.483605   --undefined--   --undefined--   --undefined--
2.206655   3341.267316   --undefined--   --undefined--   --undefined--
2.212905   3589.868780   --undefined--   --undefined--   --undefined--
2.219155   3696.039944   --undefined--   --undefined--   --undefined--
2.225405   3785.726603   --undefined--   --undefined--   --undefined--
2.231655   3978.657924   --undefined--   --undefined--   --undefined--
2.237905   3928.977458   --undefined--   --undefined--   --undefined--
2.244155   3774.656313   --undefined--   --undefined--   --undefined--
2.250405   3775.230751   --undefined--   --undefined--   --undefined--
2.256655   3775.485655   --undefined--   --undefined--   --undefined--
2.262905   3672.155443   --undefined--   --undefined--   --undefined--
2.269155   3629.220226   --undefined--   --undefined--   --undefined--
2.275405   3550.865670   --undefined--   --undefined--   --undefined--
2.281655   3323.457030   --undefined--   --undefined--   --undefined--
2.287905   3322.469615   --undefined--   --undefined--   --undefined--
2.294155   3409.024717   --undefined--   --undefined--   --undefined--
2.300405   3457.022424   --undefined--   --undefined--   --undefined--
2.306655   3485.465977   --undefined--   --undefined--   --undefined--
2.312905   3320.672718   --undefined--   --undefined--   --undefined--
2.319155   3424.387573   --undefined--   --undefined--   --undefined--
2.325405   3431.343217   --undefined--   --undefined--   --undefined--
2.331655   3390.204172   --undefined--   --undefined--   --undefined--
2.337905   3429.940126   --undefined--   --undefined--   --undefined--
2.344155   1314.500338   3437.784028   --undefined--   --undefined--
2.350405   3345.688500   --undefined--   --undefined--   --undefined--
2.356655   3387.922675   --undefined--   --undefined--   --undefined--
2.362905   3503.567805   --undefined--   --undefined--   --undefined--
2.369155   3440.599986   --undefined--   --undefined--   --undefined--
2.375405   3369.167870   --undefined--   --undefined--   --undefined--
2.381655   3245.846558   --undefined--   --undefined--   --undefined--
2.387905   3116.492870   --undefined--   --undefined--   --undefined--
2.394155   3068.084332   3924.825679   --undefined--   --undefined--
2.400405   2284.857539   4044.097145   --undefined--   --undefined--
2.406655   2592.297174   3946.527966   --undefined--   --undefined--
2.412905   2232.988856   3935.068824   --undefined--   --undefined--
2.419155   2093.194662   4061.124180   --undefined--   --undefined--
2.425405   1926.771363   4532.079213   --undefined--   --undefined--
2.431655   1811.698261   4793.653435   --undefined--   --undefined--
2.437905   1832.002032   4450.984015   --undefined--   --undefined--
2.444155   1793.701423   4468.549390   --undefined--   --undefined--
2.450405   1790.274993   4238.691090   --undefined--   --undefined--
2.456655   1855.195178   4089.839357   --undefined--   --undefined--
2.462905   2071.089266   4108.908387   --undefined--   --undefined--
2.469155   2084.122222   4385.742534   --undefined--   --undefined--
2.475405   1908.229518   4364.656816   --undefined--   --undefined--
2.481655   1983.638703   4497.021178   --undefined--   --undefined--
2.487905   1823.379225   4421.419325   --undefined--   --undefined--
2.494155   198.547450   3970.502120   --undefined--   --undefined--
2.500405   3578.496692   --undefined--   --undefined--   --undefined--
2.506655   2118.147186   4498.040152   --undefined--   --undefined--
2.512905   2174.108004   4539.027667   --undefined--   --undefined--
2.519155   2132.021249   4320.447006   --undefined--   --undefined--
2.525405   2048.160735   4316.322924   --undefined--   --undefined--
2.531655   2186.096619   4528.887405   --undefined--   --undefined--
2.537905   2185.377005   4347.358312   --undefined--   --undefined--
2.544155   2203.964709   4237.274814   --undefined--   --undefined--
2.550405   2088.987332   4254.190336   --undefined--   --undefined--
2.556655   2036.926162   4359.685319   --undefined--   --undefined--
2.562905   2051.957614   4535.600228   --undefined--   --undefined--
2.569155   2426.100990   4550.829248   --undefined--   --undefined--
2.575405   2492.645038   4451.929824   --undefined--   --undefined--
2.581655   2134.667654   4240.998456   --undefined--   --undefined--
2.587905   2235.996156   4467.864594   --undefined--   --undefined--
2.594155   2269.505797   4701.640237   --undefined--   --undefined--
2.600405   2375.106563   4588.843153   --undefined--   --undefined--
2.606655   2113.715495   4498.539377   --undefined--   --undefined--
2.612905   2185.511290   4606.637801   --undefined--   --undefined--
2.619155   2217.070625   4647.595638   --undefined--   --undefined--
2.625405   1806.038068   4500.209425   --undefined--   --undefined--
2.631655   1061.199733   4528.944981   --undefined--   --undefined--
2.637905   885.774266   4469.543732   --undefined--   --undefined--
2.644155   773.758282   4064.796531   --undefined--   --undefined--
2.650405   742.887887   3545.555788   --undefined--   --undefined--
2.656655   737.860711   3478.181158   --undefined--   --undefined--
2.662905   771.672972   3361.436756   --undefined--   --undefined--
2.669155   825.846048   3359.588302   --undefined--   --undefined--
2.675405   890.937190   3745.249919   --undefined--   --undefined--
2.681655   909.579248   3692.865450   --undefined--   --undefined--
2.687905   900.873587   3665.296212   --undefined--   --undefined--
